 Nome da Empresa 	Pago 	Guia	Tipo de Site	Valor	Tipo de Cliente	Cidade	Estado	Data da Venda	Otimizado	3+ Avaliações no Google
 Empresa 163 	NÃO	NÃO	 WordPress + Blog 	1665,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 1 de novembro de 2019 	NÃO	NÃO
 Empresa 164 	 SIM 	NÃO	 WooCommerce 	2095,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 11 de outubro de 2018 	 SIM 	 SIM 
 Empresa 165 	 SIM 	 SIM 	 WordPress 	1855,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 8 de janeiro de 2014 	 SIM 	 SIM 
 Empresa 166 	NÃO	NÃO	 Standard 	1385,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 19 de maio de 2016 	NÃO	NÃO
 Empresa 167 	 SIM 	 SIM 	 WooCommerce 	1615,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 11 de dezembro de 2019 	 SIM 	 SIM 
 Empresa 168 	 SIM 	 SIM 	 Standard 	1725,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 25 de março de 2014 	NÃO	NÃO
 Empresa 169 	NÃO	NÃO	 WordPress + Blog 	2535,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 12 de julho de 2019 	 SIM 	 SIM 
 Empresa 170 	 SIM 	 SIM 	 WordPress 	1945,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 30 de setembro de 2013 	 SIM 	 SIM 
 Empresa 171 	NÃO	NÃO	 Standard 	1455,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 6 de janeiro de 2014 	NÃO	NÃO
 Empresa 172 	 SIM 	 SIM 	 WooCommerce 	1965,00	 TOP 	 Belém 	 PA 	 quarta-feira, 4 de setembro de 2019 	 SIM 	 SIM 
 Empresa 173 	NÃO	NÃO	 WordPress + Blog 	1685,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 22 de agosto de 2014 	NÃO	NÃO
 Empresa 174 	 SIM 	NÃO	 WooCommerce 	2105,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 5 de outubro de 2021 	 SIM 	 SIM 
 Empresa 175 	 SIM 	 SIM 	 WordPress 	1865,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 3 de dezembro de 2014 	 SIM 	 SIM 
 Empresa 176 	NÃO	NÃO	 Standard 	1395,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 8 de maio de 2017 	NÃO	NÃO
 Empresa 177 	 SIM 	 SIM 	 WooCommerce 	1625,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 2 de outubro de 2019 	 SIM 	 SIM 
 Empresa 178 	 SIM 	 SIM 	 Standard 	1735,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 19 de abril de 2016 	NÃO	NÃO
 Empresa 179 	NÃO	NÃO	 WordPress + Blog 	2545,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 14 de agosto de 2020 	 SIM 	 SIM 
 Empresa 180 	 SIM 	 SIM 	 WordPress 	1955,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 6 de junho de 2013 	 SIM 	 SIM 
 Empresa 181 	NÃO	NÃO	 Standard 	1465,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 15 de setembro de 2014 	NÃO	NÃO
 Empresa 182 	 SIM 	 SIM 	 WooCommerce 	1975,00	 TOP 	 Belém 	 PA 	 quarta-feira, 18 de dezembro de 2019 	 SIM 	 SIM 
 Empresa 183 	NÃO	NÃO	 WordPress + Blog 	1685,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 5 de junho de 2015 	NÃO	NÃO
 Empresa 184 	 SIM 	NÃO	 WooCommerce 	2115,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 1 de março de 2016 	 SIM 	 SIM 
 Empresa 185 	 SIM 	 SIM 	 WordPress 	1875,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 27 de janeiro de 2010 	 SIM 	 SIM 
 Empresa 186 	NÃO	NÃO	 Standard 	1405,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 18 de setembro de 2018 	NÃO	NÃO
 Empresa 187 	 SIM 	 SIM 	 WooCommerce 	1635,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 2 de dezembro de 2020 	 SIM 	 SIM 
 Empresa 188 	 SIM 	 SIM 	 Standard 	1745,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 14 de janeiro de 2020 	NÃO	NÃO
 Empresa 189 	NÃO	NÃO	 WordPress + Blog 	2555,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 21 de maio de 2021 	 SIM 	 SIM 
 Empresa 190 	 SIM 	 SIM 	 WordPress 	1965,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 19 de novembro de 2015 	 SIM 	 SIM 
 Empresa 191 	NÃO	NÃO	 Standard 	1475,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 9 de fevereiro de 2015 	NÃO	NÃO
 Empresa 192 	 SIM 	 SIM 	 WooCommerce 	1985,00	 TOP 	 Belém 	 PA 	 quarta-feira, 27 de julho de 2016 	 SIM 	 SIM 
 Empresa 193 	NÃO	NÃO	 WordPress + Blog 	1695,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 8 de agosto de 2014 	NÃO	NÃO
 Empresa 194 	 SIM 	NÃO	 WooCommerce 	2125,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 10 de outubro de 2017 	 SIM 	 SIM 
 Empresa 195 	 SIM 	 SIM 	 WordPress 	1885,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 18 de julho de 2012 	 SIM 	 SIM 
 Empresa 196 	NÃO	NÃO	 Standard 	1415,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 11 de outubro de 2018 	NÃO	NÃO
 Empresa 197 	 SIM 	 SIM 	 WooCommerce 	1645,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 6 de março de 2019 	 SIM 	 SIM 
 Empresa 198 	 SIM 	 SIM 	 Standard 	1755,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 1 de setembro de 2020 	NÃO	NÃO
 Empresa 199 	NÃO	NÃO	 WordPress + Blog 	2565,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 13 de março de 2020 	 SIM 	 SIM 
 Empresa 200 	 SIM 	 SIM 	 WordPress 	1975,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 14 de julho de 2016 	 SIM 	 SIM 
 Empresa 201 	NÃO	NÃO	 Standard 	1485,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 26 de dezembro de 2016 	NÃO	NÃO
 Empresa 202 	 SIM 	 SIM 	 WooCommerce 	1995,00	 TOP 	 Belém 	 PA 	 quarta-feira, 5 de outubro de 2022 	 SIM 	 SIM 
 Empresa 203 	NÃO	NÃO	 WordPress + Blog 	1705,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 22 de maio de 2020 	NÃO	NÃO
 Empresa 204 	 SIM 	NÃO	 WooCommerce 	2135,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 12 de janeiro de 2016 	 SIM 	 SIM 
 Empresa 205 	 SIM 	 SIM 	 WordPress 	1895,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 23 de setembro de 2015 	 SIM 	 SIM 
 Empresa 206 	NÃO	NÃO	 Standard 	1425,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 1 de novembro de 2018 	NÃO	NÃO
 Empresa 207 	 SIM 	 SIM 	 WooCommerce 	1655,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 7 de setembro de 2022 	 SIM 	 SIM 
 Empresa 208 	 SIM 	 SIM 	 Standard 	1765,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 2 de dezembro de 2021 	NÃO	NÃO
 Empresa 209 	NÃO	NÃO	 WordPress + Blog 	2575,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 24 de janeiro de 2020 	 SIM 	 SIM 
 Empresa 210 	 SIM 	 SIM 	 WordPress 	1985,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 10 de julho de 2017 	 SIM 	 SIM 
 Empresa 211 	NÃO	NÃO	 Standard 	1495,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 28 de outubro de 2019 	NÃO	NÃO
 Empresa 212 	 SIM 	 SIM 	 WooCommerce 	2005,00	 TOP 	 Belém 	 PA 	 quarta-feira, 17 de março de 2021 	 SIM 	 SIM 
 Empresa 213 	NÃO	NÃO	 WordPress + Blog 	1715,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 16 de junho de 2017 	NÃO	NÃO
 Empresa 214 	 SIM 	NÃO	 WooCommerce 	2145,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 3 de agosto de 2021 	 SIM 	 SIM 
 Empresa 215 	 SIM 	 SIM 	 WordPress 	1905,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 4 de janeiro de 2017 	 SIM 	 SIM 
 Empresa 216 	NÃO	NÃO	 Standard 	1435,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 19 de novembro de 2020 	NÃO	NÃO
 Empresa 217 	 SIM 	 SIM 	 WooCommerce 	1665,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 28 de junho de 2022 	 SIM 	 SIM 
 Empresa 218 	 SIM 	 SIM 	 Standard 	1775,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 15 de agosto de 2022 	NÃO	NÃO
 Empresa 219 	NÃO	NÃO	 WordPress + Blog 	2585,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 11 de novembro de 2022 	 SIM 	 SIM 
 Empresa 220 	 SIM 	 SIM 	 WordPress 	1995,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 27 de setembro de 2018 	 SIM 	 SIM 
 Empresa 221 	NÃO	NÃO	 Standard 	1505,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 12 de janeiro de 2015 	NÃO	NÃO
 Empresa 222 	 SIM 	 SIM 	 WooCommerce 	2015,00	 TOP 	 Belém 	 PA 	 quarta-feira, 6 de abril de 2022 	 SIM 	 SIM 
 Empresa 223 	NÃO	NÃO	 WordPress + Blog 	1725,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 23 de dezembro de 2022 	NÃO	NÃO
 Empresa 224 	 SIM 	NÃO	 WooCommerce 	2155,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 28 de julho de 2020 	 SIM 	 SIM 
 Empresa 225 	 SIM 	 SIM 	 WordPress 	1915,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 31 de março de 2021 	 SIM 	 SIM 
 Empresa 226 	NÃO	NÃO	 Standard 	1445,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 14 de maio de 2015 	NÃO	NÃO
